article_id,category
1,General
2,General
3,General
4,General
5,General
6,General
7,General
8,General
9,General
10,General
11,General
12,General
13,General
14,General
15,General
16,General
17,General
18,General
19,Politics
20,Politics
21,Politics
22,General
23,General
24,General
25,Politics
26,Technology
27,General
28,General
29,Politics
30,General
31,General
32,Entertainment
33,Politics
34,General
35,Politics
36,World
37,General
38,General
39,Entertainment
40,General
41,World
42,General
43,General
44,General
45,General
46,General
47,Health
48,General
49,General
50,Technology
