article_id,sentiment,polarity,subjectivity
1,Neutral,0.0,0.0
2,Neutral,0.0,0.0
3,Neutral,0.0,0.0
4,Positive,0.4643,0.5929
5,Neutral,0.0,0.0
6,Neutral,0.0,0.0
7,Neutral,0.0,0.0
8,Neutral,0.0,0.0
9,Neutral,0.0,0.0
10,Neutral,0.0,0.0
11,Neutral,0.0,0.0
12,Neutral,0.0,0.0
13,Neutral,0.0,0.0
14,Neutral,0.0,0.0
15,Neutral,0.0,0.0
16,Neutral,0.0,0.0
17,Neutral,0.0,0.0
18,Neutral,0.0,0.0
19,Neutral,0.0,0.0
20,Neutral,0.0,0.0
21,Neutral,0.0,0.0
22,Neutral,0.0,0.0
23,Neutral,0.0,0.0
24,Neutral,0.0,0.0
25,Neutral,0.0,0.0
26,Neutral,0.0,0.0
27,Neutral,0.0,0.0
28,Neutral,0.0,0.0
29,Neutral,0.0,0.0
30,Neutral,0.0,0.0
31,Neutral,0.0,0.375
32,Neutral,0.0,0.0
33,Neutral,0.0,0.0
34,Neutral,0.0,0.0
35,Neutral,0.0,0.0
36,Neutral,0.0,0.0
37,Neutral,0.0,0.0
38,Neutral,0.0,0.0
39,Neutral,0.0,0.0
40,Positive,0.5,0.5
41,Neutral,0.0,0.0
42,Neutral,0.0,1.0
43,Neutral,0.0,0.0
44,Neutral,0.0,0.0
45,Neutral,0.0,0.0
46,Positive,0.5,0.5
47,Neutral,0.0,0.0
48,Positive,0.2,0.3
49,Neutral,0.0,0.0
50,Neutral,0.0,0.0
