topic,keyword,weight
Topic 1,të,0.9547
Topic 1,në,0.4787
Topic 1,për,0.3998
Topic 1,dhe,0.3308
Topic 1,që,0.2823
Topic 1,një,0.2673
Topic 1,më,0.2467
Topic 1,është,0.2301
Topic 2,quia,0.3309
Topic 2,qui,0.3309
Topic 2,ut,0.3309
Topic 2,voluptatem,0.3309
Topic 2,sit,0.2482
Topic 2,sed,0.2482
Topic 2,enim,0.1655
Topic 2,ea,0.1655
Topic 3,ujmanit,0.3136
Topic 3,kosovës,0.3126
Topic 3,dhe,0.2692
Topic 3,në,0.25
Topic 3,të,0.2473
Topic 3,pikën,0.2238
Topic 3,kufitare,0.2238
Topic 3,thaçi,0.2009
Topic 4,në,0.4993
Topic 4,të,0.2412
Topic 4,shtatë,0.2073
Topic 4,derbin,0.1878
Topic 4,ndeshjes,0.1717
Topic 4,nga,0.1436
Topic 4,liverpool,0.134
Topic 4,juventusi,0.1278
Topic 5,ka,0.3211
Topic 5,reperi,0.3112
Topic 5,tij,0.2258
Topic 5,publikuar,0.1798
Topic 5,është,0.1618
Topic 5,ri,0.1482
Topic 5,të,0.1461
Topic 5,lumi,0.1156
